event_id,participant_id,event_type,event_timestamp
EVT400000,P102604,app_open,2024-01-13 04:27:48.787559
EVT400001,P102604,login,2024-01-15 10:00:25.466798
EVT400002,P102604,browse_studies,2024-02-01 00:43:04.179293
EVT400003,P102604,browse_studies,2024-02-01 03:39:33.401127
EVT400004,P102604,login,2024-02-17 06:07:26.912524
EVT400005,P102604,browse_studies,2024-02-17 15:29:02.084891
EVT400006,P102604,app_open,2024-02-17 20:26:30.045955
EVT400007,P102604,profile_update,2024-02-17 21:44:41.248771
EVT400008,P102604,login,2024-02-18 01:25:02.060249
EVT400009,P102604,app_open,2024-02-18 07:54:57.375598
EVT400010,P102604,login,2024-02-18 08:07:10.842651
EVT400011,P102604,app_open,2024-02-18 09:36:26.314310
EVT400012,P102604,login,2024-02-18 11:43:41.540399
EVT400013,P102604,browse_studies,2024-02-18 16:49:25.431185
EVT400014,P102604,browse_studies,2024-02-18 17:27:32.283943
EVT400015,P102604,login,2024-02-19 02:25:02.060249
EVT400016,P102604,app_open,2024-02-19 02:59:46.761435
EVT400017,P102604,login,2024-02-19 06:25:02.060249
EVT400018,P102632,browse_studies,2024-02-19 20:33:04.784381
EVT400019,P102604,app_open,2024-02-19 20:55:21.500351
EVT400020,P102604,login,2024-02-19 23:25:02.060249
EVT400021,P102604,browse_studies,2024-02-20 01:55:14.764472
EVT400022,P102604,app_open,2024-02-20 02:26:02.723608
EVT400023,P102604,notification_click,2024-02-20 05:12:16.813494
EVT400024,P102604,login,2024-02-20 18:25:02.060249
EVT400025,P102632,browse_studies,2024-02-21 01:55:41.374085
EVT400026,P102611,app_open,2024-02-21 06:23:42.969591
EVT400027,P102632,browse_studies,2024-02-21 07:32:52.269679
EVT400028,P102632,login,2024-02-21 15:04:11.492035
EVT400029,P102611,login,2024-02-21 19:40:22.177941
EVT400030,P102611,login,2024-02-21 21:40:22.177941
EVT400031,P102632,app_open,2024-02-21 21:42:22.772996
EVT400032,P102611,browse_studies,2024-02-22 09:32:08.407797
EVT400033,P100072,login,2024-02-22 12:52:30.736893
EVT400034,P102632,login,2024-02-22 20:54:53.243390
EVT400035,P102604,app_open,2024-02-24 04:53:59.384881
EVT400036,P102632,browse_studies,2024-02-27 09:33:31.390290
EVT400037,P102632,login,2024-02-27 10:54:53.243390
EVT400038,P102632,browse_studies,2024-02-28 06:02:12.685490
EVT400039,P102604,browse_studies,2024-02-28 10:40:33.469632
EVT400040,P100128,browse_studies,2024-02-28 11:38:08.958736
EVT400041,P102611,notification_click,2024-02-28 18:44:15.344990
EVT400042,P100128,app_open,2024-02-28 20:21:28.917308
EVT400043,P102632,login,2024-02-28 20:33:53.454371
EVT400044,P102714,browse_studies,2024-02-28 21:37:48.555767
EVT400045,P102632,app_open,2024-02-29 05:32:09.327817
EVT400046,P102604,login,2024-02-29 10:25:02.060249
EVT400047,P100821,login,2024-02-29 10:40:23.445973
EVT400048,P102714,notification_click,2024-02-29 17:20:29.721025
EVT400049,P102714,browse_studies,2024-02-29 19:37:37.714030
EVT400050,P102714,notification_click,2024-02-29 19:48:34.626140
EVT400051,P102714,login,2024-02-29 21:45:56.129467
EVT400052,P102632,notification_click,2024-03-01 05:29:04.424801
EVT400053,P102714,login,2024-03-01 05:45:56.129467
EVT400054,P100128,login,2024-03-01 07:07:26.265763
EVT400055,P102714,login,2024-03-01 07:35:46.597030
EVT400056,P102714,app_open,2024-03-01 08:31:15.547170
EVT400057,P102714,login,2024-03-01 10:45:56.129467
EVT400058,P100821,login,2024-03-01 10:46:26.481574
EVT400059,P100821,app_open,2024-03-01 18:46:42.514142
EVT400060,P102714,login,2024-03-01 19:14:55.192900
EVT400061,P102714,login,2024-03-02 02:00:53.287715
EVT400062,P102611,login,2024-03-02 02:58:05.282327
EVT400063,P102714,login,2024-03-02 03:41:29.800536
EVT400064,P102714,browse_studies,2024-03-02 06:52:53.704637
EVT400065,P102714,login,2024-03-02 17:45:56.129467
EVT400066,P102294,app_open,2024-03-02 21:33:05.252877
EVT400067,P102632,login,2024-03-02 23:54:53.243390
EVT400068,P102911,browse_studies,2024-03-03 11:39:43.984672
EVT400069,P102611,login,2024-03-03 20:40:22.177941
EVT400070,P100821,browse_studies,2024-03-03 22:46:12.272750
EVT400071,P102911,login,2024-03-04 05:29:53.070811
EVT400072,P100128,browse_studies,2024-03-04 06:18:11.188264
EVT400073,P102632,notification_click,2024-03-04 08:46:16.875150
EVT400074,P100128,login,2024-03-04 14:07:12.218497
EVT400075,P100128,login,2024-03-04 18:07:26.265763
EVT400076,P102911,notification_click,2024-03-04 19:33:32.468646
EVT400077,P100821,browse_studies,2024-03-04 21:45:16.446832
EVT400078,P100208,browse_studies,2024-03-05 00:19:09.251166
EVT400079,P102294,login,2024-03-05 03:12:21.504970
EVT400080,P102714,app_open,2024-03-05 20:43:04.762543
EVT400081,P100821,login,2024-03-05 23:46:26.481574
EVT400082,P102611,browse_studies,2024-03-06 03:40:47.466850
EVT400083,P100128,login,2024-03-06 18:07:26.265763
EVT400084,P102294,browse_studies,2024-03-06 21:00:51.829996
EVT400085,P102632,login,2024-03-07 04:54:53.243390
EVT400086,P102611,login,2024-03-07 06:40:22.177941
EVT400087,P102761,login,2024-03-07 09:25:50.344355
EVT400088,P102294,browse_studies,2024-03-07 16:50:04.438772
EVT400089,P100821,login,2024-03-07 18:46:26.481574
EVT400090,P102294,login,2024-03-08 04:12:21.504970
EVT400091,P100128,login,2024-03-08 07:19:46.873510
EVT400092,P100821,login,2024-03-08 07:25:19.917064
EVT400093,P100128,app_open,2024-03-08 10:17:20.982575
EVT400094,P102761,login,2024-03-08 14:19:28.337297
EVT400095,P102294,app_open,2024-03-08 22:55:15.634379
EVT400096,P100128,login,2024-03-09 00:27:11.822861
EVT400097,P102604,login,2024-03-09 04:25:02.060249
EVT400098,P102761,app_open,2024-03-09 05:17:08.268700
EVT400099,P101901,login,2024-03-09 06:03:06.210196
EVT400100,P102604,login,2024-03-09 08:25:02.060249
EVT400101,P102818,app_open,2024-03-09 09:03:15.511952
EVT400102,P102632,notification_click,2024-03-09 16:11:56.683840
EVT400103,P102632,browse_studies,2024-03-09 18:05:08.956579
EVT400104,P101283,browse_studies,2024-03-09 18:25:06.282536
EVT400105,P102761,login,2024-03-10 04:55:37.667361
EVT400106,P100128,login,2024-03-10 10:07:26.265763
EVT400107,P102294,notification_click,2024-03-10 12:42:55.357254
EVT400108,P102327,browse_studies,2024-03-10 14:30:01.925401
EVT400109,P102611,login,2024-03-10 19:18:43.163102
EVT400110,P102327,notification_click,2024-03-10 21:02:36.893686
EVT400111,P102327,login,2024-03-11 01:48:19.973859
EVT400112,P100128,login,2024-03-11 04:34:48.317112
EVT400113,P102911,browse_studies,2024-03-11 08:34:18.083313
EVT400114,P102611,login,2024-03-11 09:19:40.295368
EVT400115,P102327,app_open,2024-03-11 10:01:57.784543
EVT400116,P102528,login,2024-03-11 10:52:04.679798
EVT400117,P100128,login,2024-03-11 11:00:48.831357
EVT400118,P102714,app_open,2024-03-11 11:05:04.786830
EVT400119,P100821,app_open,2024-03-11 11:18:26.227749
EVT400120,P100128,browse_studies,2024-03-11 16:18:50.033225
EVT400121,P102911,login,2024-03-11 19:29:53.070811
EVT400122,P102632,login,2024-03-11 19:54:53.243390
EVT400123,P100128,login,2024-03-11 20:09:45.412616
EVT400124,P102611,login,2024-03-11 23:40:22.177941
EVT400125,P102714,browse_studies,2024-03-12 08:19:17.445654
EVT400126,P102528,app_open,2024-03-12 15:30:52.312907
EVT400127,P102327,login,2024-03-13 01:51:47.570208
EVT400128,P102714,login,2024-03-13 04:45:56.129467
EVT400129,P102611,login,2024-03-13 04:55:12.630666
EVT400130,P102632,browse_studies,2024-03-13 10:22:03.395850
EVT400131,P102611,notification_click,2024-03-13 11:17:45.184091
EVT400132,P102611,login,2024-03-13 12:17:48.166209
EVT400133,P102761,login,2024-03-13 20:20:47.346854
EVT400134,P102714,login,2024-03-13 20:45:56.129467
EVT400135,P102327,app_open,2024-03-14 00:52:00.572311
EVT400136,P102714,login,2024-03-14 03:02:34.154574
EVT400137,P100208,browse_studies,2024-03-14 14:09:21.795629
EVT400138,P102327,browse_studies,2024-03-14 14:56:26.168124
EVT400139,P100821,login,2024-03-14 18:11:47.947184
EVT400140,P102977,login,2024-03-14 19:03:21.959858
EVT400141,P102714,browse_studies,2024-03-14 23:17:01.512685
EVT400142,P102327,login,2024-03-15 01:48:19.973859
EVT400143,P101752,profile_update,2024-03-15 04:59:08.392822
EVT400144,P102761,browse_studies,2024-03-15 07:00:32.099761
EVT400145,P102632,login,2024-03-15 10:54:53.243390
EVT400146,P102327,notification_click,2024-03-15 11:52:27.717080
EVT400147,P102714,login,2024-03-15 12:45:56.129467
EVT400148,P102632,login,2024-03-15 12:51:31.878466
EVT400149,P102911,browse_studies,2024-03-15 13:03:18.112759
EVT400150,P102632,browse_studies,2024-03-15 14:18:49.920066
EVT400151,P102327,login,2024-03-15 15:05:53.768174
EVT400152,P102761,login,2024-03-15 15:19:28.337297
EVT400153,P102528,login,2024-03-15 16:59:09.111136
EVT400154,P102327,notification_click,2024-03-16 02:01:53.947360
EVT400155,P100072,browse_studies,2024-03-16 02:29:42.775264
EVT400156,P100407,notification_click,2024-03-16 03:20:28.338487
EVT400157,P102327,app_open,2024-03-16 05:34:16.752044
EVT400158,P102632,app_open,2024-03-16 06:08:10.131156
EVT400159,P100128,app_open,2024-03-16 07:57:00.927531
EVT400160,P102327,browse_studies,2024-03-16 13:51:57.434838
EVT400161,P100407,login,2024-03-16 15:53:46.308685
EVT400162,P102360,notification_click,2024-03-16 17:28:13.993701
EVT400163,P102327,login,2024-03-16 19:48:19.973859
EVT400164,P102911,browse_studies,2024-03-16 20:59:17.017018
EVT400165,P100407,login,2024-03-16 21:53:46.308685
EVT400166,P102761,login,2024-03-16 23:04:35.876938
EVT400167,P102131,app_open,2024-03-17 03:38:51.931770
EVT400168,P100128,app_open,2024-03-17 06:16:36.668830
EVT400169,P100128,browse_studies,2024-03-17 08:07:28.008595
EVT400170,P102911,login,2024-03-17 08:29:53.070811
EVT400171,P102611,browse_studies,2024-03-17 09:37:30.899712
EVT400172,P100407,login,2024-03-17 09:53:46.308685
EVT400173,P100407,profile_update,2024-03-17 13:33:31.081698
EVT400174,P102761,login,2024-03-17 15:19:28.337297
EVT400175,P102761,browse_studies,2024-03-17 16:21:48.937819
