participant_id,signup_date,acquisition_channel,country,age,gender,device_type,last_activity_date,account_status
P102902,2024-01-04 03:08:52,Social Media,Mexico,20,Male,Desktop,,never_activated
P102604,2024-01-10 10:50:41,Organic Search,United Kingdom,34,Female,Tablet,2024-09-09 08:25:02.060249,churned
P102714,2024-01-28 17:21:54,Social Media,Italy,31,Female,Tablet,2024-05-24 00:45:56.129467,churned
P102327,2024-01-29 03:50:54,Social Media,United States,29,Female,Mobile,2024-03-30 02:48:19.973859,churned
P102911,2024-01-29 11:21:10,Organic Search,Spain,18,Male,Mobile,2024-03-26 05:29:53.070811,churned
P101921,2024-02-10 16:52:38,Social Media,South Africa,37,Male,Desktop,,never_activated
P102611,2024-02-13 20:30:05,Partner Program,Poland,18,Male,Desktop,2024-06-10 03:40:22.177941,churned
P102632,2024-02-16 00:08:54,Paid Ads,Mexico,36,Male,Mobile,2024-04-15 20:54:53.243390,churned
P100821,2024-02-17 23:55:24,Social Media,Poland,33,Male,Desktop,2024-06-21 01:46:26.481574,churned
P101426,2024-02-18 23:08:49,Paid Ads,South Africa,39,Male,Tablet,,never_activated
P100208,2024-02-19 21:18:29,Organic Search,United States,44,Male,Mobile,,never_activated
P101901,2024-02-20 22:38:53,Social Media,Spain,35,Male,Desktop,,never_activated
P100072,2024-02-21 05:20:33,Social Media,Poland,31,Prefer not to say,Desktop,,never_activated
P102294,2024-02-21 18:52:26,Social Media,Mexico,43,Female,Mobile,2024-05-24 18:12:21.504970,churned
P101483,2024-02-22 08:20:05,Referral,Netherlands,42,Male,Desktop,,never_activated
P101168,2024-02-24 11:27:27,Partner Program,Germany,27,Prefer not to say,Mobile,,never_activated
P100128,2024-02-27 01:08:58,Partner Program,United States,36,Male,Desktop,2024-12-20 20:07:26.265763,churned
P101515,2024-02-29 07:00:16,Referral,Portugal,28,Female,Desktop,,never_activated
P102295,2024-02-29 18:42:36,Organic Search,United Kingdom,30,Female,Desktop,2024-05-08 07:49:00.167966,churned
P102761,2024-03-01 14:14:47,Referral,United States,32,Female,Desktop,2024-04-02 12:19:28.337297,churned
P102528,2024-03-04 04:23:12,Referral,Greece,26,Female,Desktop,2024-08-27 17:52:04.679798,churned
P100205,2024-03-05 07:03:18,Social Media,United States,23,Male,Desktop,2024-07-03 08:19:39.389944,churned
P102818,2024-03-05 21:25:29,Partner Program,United Kingdom,31,Male,Desktop,,never_activated
P101886,2024-03-06 07:52:59,Organic Search,Italy,25,Male,Desktop,,never_activated
P101283,2024-03-07 10:45:24,Organic Search,Germany,43,Male,Desktop,,never_activated
P102692,2024-03-08 05:35:16,Paid Ads,United Kingdom,28,Male,Desktop,,never_activated
P102349,2024-03-08 16:54:52,Organic Search,Greece,27,Female,Mobile,2024-07-03 01:27:33.034357,churned
P100407,2024-03-10 04:37:13,Referral,Mexico,38,Female,Mobile,2024-05-03 13:53:46.308685,churned
P101743,2024-03-11 17:44:11,Referral,United States,31,Female,Mobile,,never_activated
P100945,2024-03-11 21:19:37,Paid Ads,Italy,33,Female,Desktop,2024-04-30 10:53:45.585919,churned
P100456,2024-03-12 16:49:53,Organic Search,Canada,28,Female,Desktop,,never_activated
P102977,2024-03-12 17:23:00,Organic Search,United Kingdom,42,Male,Desktop,,never_activated
P101264,2024-03-13 01:22:02,Paid Ads,Germany,19,Male,Mobile,2024-07-30 18:15:01.056232,churned
P102360,2024-03-13 06:24:25,Paid Ads,United States,28,Male,Desktop,2024-04-07 06:56:44.375365,churned
P102817,2024-03-14 01:33:56,Referral,United Kingdom,33,Male,Desktop,,never_activated
P100470,2024-03-14 08:48:29,Paid Ads,United Kingdom,29,Female,Mobile,2024-06-18 05:27:18.953310,churned
P101752,2024-03-14 10:58:36,Paid Ads,United States,18,Male,Mobile,,never_activated
P101799,2024-03-14 14:38:39,Organic Search,Mexico,18,Female,Desktop,2024-09-13 19:48:08.173693,churned
P102224,2024-03-15 05:17:45,Paid Ads,Germany,25,Male,Desktop,2024-06-15 01:05:51.751612,churned
P102131,2024-03-15 22:30:10,Referral,Mexico,32,Non-binary,Desktop,,never_activated
P100898,2024-03-16 11:37:10,Paid Ads,Greece,34,Prefer not to say,Desktop,2024-05-01 01:11:27.154428,churned
P100840,2024-03-17 09:24:45,Organic Search,South Africa,33,Male,Desktop,,never_activated
P102533,2024-03-20 00:13:06,Referral,Spain,38,Female,Mobile,,never_activated
P100332,2024-03-20 02:57:35,Referral,United States,34,Male,Desktop,,never_activated
P100563,2024-03-20 19:06:38,Organic Search,United Kingdom,44,Female,Mobile,,never_activated
P102682,2024-03-21 02:35:27,Partner Program,Greece,26,Prefer not to say,Desktop,,never_activated
P100244,2024-03-23 03:04:47,Social Media,Poland,19,Female,Desktop,,never_activated
P100171,2024-03-25 06:42:50,Referral,United States,44,Prefer not to say,Desktop,,never_activated
P102703,2024-03-26 00:21:09,Referral,Germany,18,Female,Desktop,,never_activated
P102708,2024-03-27 10:45:29,Organic Search,Canada,46,Female,Tablet,2024-05-25 03:42:04.478762,churned
P102212,2024-03-28 04:04:05,Referral,Poland,33,Male,Desktop,,never_activated
P101073,2024-03-28 20:58:24,Organic Search,Mexico,45,Female,Tablet,,never_activated
P101513,2024-03-29 04:26:00,Referral,Canada,33,Male,Desktop,,never_activated
P100371,2024-03-29 10:25:48,Paid Ads,Portugal,36,Male,Desktop,,never_activated
P100794,2024-03-29 13:45:00,Social Media,United States,34,Male,Tablet,,never_activated
P100936,2024-03-29 17:06:16,Social Media,Poland,37,Male,Desktop,,never_activated
P102685,2024-03-31 06:23:24,Social Media,Canada,34,Female,Desktop,2025-06-21 01:54:06.066527,active
P102516,2024-03-31 11:18:38,Organic Search,Italy,35,Female,Desktop,,never_activated
P101746,2024-03-31 19:30:11,Paid Ads,Spain,32,Female,Mobile,2024-08-26 05:57:57.507025,churned
P100882,2024-04-01 16:02:47,Social Media,United States,40,Female,Desktop,,never_activated
P100640,2024-04-02 17:53:38,Referral,Canada,37,Female,Mobile,2024-05-01 04:00:00.345736,churned
P100010,2024-04-03 10:22:07,Referral,United Kingdom,32,Male,Desktop,,never_activated
P101049,2024-04-04 08:10:32,Paid Ads,South Africa,39,Prefer not to say,Desktop,2024-07-05 13:15:56.294157,churned
P101813,2024-04-04 20:54:02,Organic Search,Portugal,18,Female,Mobile,2024-06-02 00:15:42.602866,churned
P102018,2024-04-05 00:08:35,Referral,Greece,20,Male,Desktop,,never_activated
P101202,2024-04-06 00:35:23,Referral,Portugal,29,Male,Desktop,,never_activated
P100925,2024-04-07 00:32:41,Organic Search,United Kingdom,34,Male,Desktop,2024-09-30 22:03:34.015547,churned
P102421,2024-04-08 13:22:08,Partner Program,United Kingdom,32,Female,Mobile,2024-05-15 13:36:57.461264,churned
P100377,2024-04-08 13:48:03,Organic Search,United Kingdom,21,Male,Mobile,,never_activated
P101576,2024-04-09 03:24:14,Referral,United States,44,Male,Mobile,,never_activated
P102719,2024-04-09 20:27:00,Organic Search,United States,31,Female,Desktop,2024-04-21 02:12:04.426779,churned
P100237,2024-04-10 00:43:11,Organic Search,United Kingdom,43,Male,Mobile,,never_activated
P101970,2024-04-10 01:33:42,Paid Ads,Mexico,31,Male,Desktop,,never_activated
P101047,2024-04-10 05:13:36,Social Media,Portugal,24,Male,Mobile,,never_activated
P101201,2024-04-11 15:43:55,Organic Search,Poland,18,Male,Tablet,2024-05-13 11:29:37.458667,churned
P102975,2024-04-12 04:16:06,Social Media,United States,34,Female,Desktop,2024-06-11 04:23:44.618874,churned
P102397,2024-04-12 13:39:38,Paid Ads,United Kingdom,24,Non-binary,Desktop,2024-05-13 15:06:58.590602,churned
P100874,2024-04-12 14:31:05,Organic Search,United States,31,Non-binary,Mobile,2024-07-05 06:51:53.658605,churned
P100098,2024-04-12 17:28:32,Paid Ads,Greece,33,Male,Mobile,,never_activated
P100312,2024-04-12 21:18:20,Paid Ads,Italy,43,Male,Mobile,2024-09-14 14:19:45.213528,churned
P101696,2024-04-13 09:27:49,Partner Program,Poland,44,Male,Desktop,2024-09-06 22:31:53.164533,churned
P101502,2024-04-13 17:31:48,Partner Program,Spain,22,Male,Mobile,,never_activated
P100901,2024-04-14 02:33:41,Organic Search,United Kingdom,27,Non-binary,Desktop,,never_activated
P101969,2024-04-14 08:17:43,Organic Search,Greece,36,Female,Desktop,2024-07-08 03:53:54.250275,churned
P100515,2024-04-14 11:27:38,Referral,United Kingdom,30,Male,Mobile,2025-06-15 11:31:13.694397,active
P100356,2024-04-14 11:43:35,Paid Ads,United Kingdom,27,Male,Mobile,,never_activated
P100878,2024-04-15 16:40:06,Organic Search,United Kingdom,41,Male,Desktop,,never_activated
P102080,2024-04-16 00:18:49,Organic Search,Netherlands,43,Female,Mobile,,never_activated
P102413,2024-04-16 16:57:58,Paid Ads,Portugal,22,Female,Mobile,,never_activated
P100557,2024-04-18 15:49:44,Partner Program,Poland,42,Male,Desktop,,never_activated
P102829,2024-04-19 02:20:46,Social Media,Italy,46,Male,Desktop,2024-05-26 10:38:48.342494,churned
P101159,2024-04-19 05:18:14,Referral,United Kingdom,18,Male,Mobile,2024-05-13 22:24:39.104821,churned
P101435,2024-04-20 08:54:43,Paid Ads,United Kingdom,18,Non-binary,Desktop,2024-08-22 05:51:08.295330,churned
P100290,2024-04-21 12:02:50,Referral,Poland,44,Female,Desktop,2024-07-09 10:40:38.812735,churned
P101454,2024-04-21 14:54:47,Partner Program,United Kingdom,41,Male,Mobile,2024-07-12 02:19:16.557817,churned
P102418,2024-04-22 00:51:54,Organic Search,Greece,31,Female,Desktop,2024-07-12 16:14:57.441688,churned
P100974,2024-04-22 08:12:03,Referral,United Kingdom,27,Male,Desktop,,never_activated
P101339,2024-04-22 12:58:06,Social Media,Italy,40,Male,Desktop,,never_activated
P101233,2024-04-22 20:01:24,Paid Ads,United Kingdom,42,Male,Desktop,2024-09-21 08:43:53.171631,churned
P101300,2024-04-23 06:18:12,Paid Ads,United States,18,Male,Desktop,2024-08-28 11:49:30.981325,churned
P100100,2024-04-23 11:40:51,Social Media,South Africa,21,Female,Desktop,2024-05-16 09:24:53.231944,churned
P101247,2024-04-25 14:05:05,Paid Ads,United States,26,Female,Desktop,,never_activated
P101288,2024-04-26 06:22:07,Paid Ads,United Kingdom,28,Female,Desktop,2024-06-17 06:48:44.901843,churned
P102182,2024-04-26 14:28:11,Social Media,United States,38,Female,Mobile,2024-06-24 14:49:06.060763,churned
P100764,2024-04-26 22:14:19,Paid Ads,United States,18,Female,Mobile,,never_activated
P102010,2024-04-26 22:15:58,Organic Search,United States,20,Female,Desktop,2024-05-22 10:19:22.471727,churned
P101019,2024-04-27 05:48:42,Organic Search,United States,50,Male,Desktop,,never_activated
P100042,2024-04-28 15:21:52,Referral,Greece,38,Female,Mobile,2024-05-28 03:19:25.501235,churned
P102241,2024-04-28 18:36:25,Social Media,Poland,55,Male,Desktop,2024-10-27 04:50:24.702732,churned
P101903,2024-04-29 11:39:39,Paid Ads,South Africa,29,Female,Desktop,,never_activated
P102858,2024-04-30 05:19:47,Organic Search,United States,31,Male,Desktop,2024-10-26 07:28:38.137176,churned
P101650,2024-04-30 11:53:52,Social Media,United States,19,Male,Mobile,,never_activated
P100285,2024-04-30 13:41:38,Referral,United Kingdom,18,Female,Mobile,,never_activated
P101402,2024-05-01 09:29:12,Social Media,United States,33,Female,Mobile,,never_activated
P100856,2024-05-01 09:51:04,Social Media,Portugal,40,Male,Desktop,,never_activated
P100628,2024-05-01 10:55:50,Organic Search,Canada,35,Male,Desktop,,never_activated
P100145,2024-05-01 14:44:13,Paid Ads,Poland,37,Female,Mobile,2024-08-04 07:12:45.039813,churned
P102297,2024-05-01 17:28:14,Paid Ads,Canada,28,Male,Desktop,2024-05-25 03:53:17.664952,churned
P100291,2024-05-02 02:18:48,Organic Search,Poland,37,Female,Mobile,,never_activated
P102899,2024-05-02 07:41:15,Organic Search,Canada,18,Male,Mobile,,never_activated
P101030,2024-05-02 10:50:19,Organic Search,United Kingdom,23,Female,Desktop,,never_activated
P102417,2024-05-04 12:06:41,Referral,United States,37,Male,Mobile,2024-07-15 05:55:17.050405,churned
P102857,2024-05-04 19:17:24,Paid Ads,Canada,23,Female,Desktop,2024-05-27 14:01:54.796483,churned
P101780,2024-05-04 20:29:22,Referral,Australia,27,Male,Mobile,,never_activated
P101013,2024-05-05 01:11:38,Referral,Germany,33,Male,Mobile,,never_activated
P101273,2024-05-05 04:35:24,Social Media,Spain,37,Female,Mobile,2024-07-29 00:04:44.163551,churned
P101416,2024-05-05 14:10:33,Organic Search,United Kingdom,26,Female,Desktop,2024-09-26 10:37:18.471647,churned
P100610,2024-05-05 15:42:21,Organic Search,Canada,18,Female,Desktop,,never_activated
P102467,2024-05-05 17:11:08,Organic Search,Poland,29,Female,Mobile,,never_activated
P101349,2024-05-06 00:04:47,Paid Ads,United Kingdom,28,Female,Desktop,,never_activated
P100335,2024-05-07 02:35:59,Organic Search,Italy,21,Male,Desktop,,never_activated
P100168,2024-05-07 06:27:28,Organic Search,United States,38,Male,Desktop,2024-09-10 08:42:35.745215,churned
P100599,2024-05-07 06:31:10,Organic Search,Portugal,51,Male,Desktop,2024-06-29 14:37:01.269191,churned
P101794,2024-05-08 08:17:11,Referral,South Africa,32,Non-binary,Mobile,,never_activated
P101422,2024-05-08 22:38:51,Organic Search,United Kingdom,38,Female,Mobile,,never_activated
P102939,2024-05-09 01:56:37,Social Media,Canada,21,Female,Mobile,2024-07-10 07:10:06.972405,churned
P101826,2024-05-09 07:13:46,Partner Program,United Kingdom,18,Female,Desktop,2024-08-11 06:57:38.938281,churned
P102203,2024-05-09 11:41:05,Paid Ads,Canada,40,Female,Desktop,2024-11-03 17:28:51.749464,churned
P101072,2024-05-09 13:43:40,Referral,Portugal,43,Male,Mobile,2024-12-22 12:41:57.327102,churned
P100472,2024-05-10 10:16:59,Organic Search,South Africa,33,Male,Desktop,2024-10-11 21:46:22.700725,churned
P101866,2024-05-10 19:15:22,Paid Ads,Portugal,18,Female,Desktop,,never_activated
P102365,2024-05-11 08:53:36,Social Media,Canada,18,Female,Desktop,,never_activated
P102776,2024-05-11 20:44:41,Referral,United States,36,Female,Desktop,,never_activated
P101548,2024-05-11 23:53:25,Organic Search,United States,37,Male,Desktop,,never_activated
P100347,2024-05-13 03:14:36,Paid Ads,Poland,27,Male,Mobile,,never_activated
P102837,2024-05-13 05:44:58,Social Media,United States,34,Male,Tablet,,never_activated
P100486,2024-05-13 06:21:07,Social Media,United Kingdom,28,Female,Desktop,2025-05-12 02:35:16.203743,at_risk
P100058,2024-05-13 18:08:23,Organic Search,Ireland,28,Female,Desktop,2025-06-19 18:07:29.417148,active
P100514,2024-05-13 20:56:43,Social Media,United Kingdom,33,Prefer not to say,Mobile,,never_activated
P100334,2024-05-14 08:21:15,Social Media,United States,23,Prefer not to say,Mobile,,never_activated
P102283,2024-05-14 11:36:25,Social Media,Spain,31,Male,Desktop,,never_activated
