payment_id,participant_id,submission_id,amount,payment_date,payment_type
PAY300000,P101682,,5.0,2024-01-21 14:07:28.000000,referral_bonus
PAY300001,P100316,,2.5,2024-02-07 09:31:33.000000,loyalty_bonus
PAY300002,P102604,SUB200001,1.52,2024-02-19 04:25:02.060249,study_reward
PAY300003,P102604,SUB200002,1.52,2024-02-19 08:25:02.060249,study_reward
PAY300004,P102604,SUB200003,6.67,2024-02-20 01:25:02.060249,study_reward
PAY300005,P102604,SUB200004,6.67,2024-02-20 20:25:02.060249,study_reward
PAY300006,P102611,SUB200005,6.67,2024-02-21 21:40:22.177941,study_reward
PAY300007,P102611,SUB200006,6.67,2024-02-21 23:40:22.177941,study_reward
PAY300008,P102632,SUB200007,1.52,2024-02-22 22:54:53.243390,study_reward
PAY300009,P100964,,2.5,2024-02-26 23:53:35.000000,referral_bonus
PAY300010,P102632,SUB200008,6.67,2024-02-27 12:54:53.243390,study_reward
PAY300011,P102604,SUB200009,6.67,2024-02-29 12:25:02.060249,study_reward
PAY300012,P102714,SUB200010,6.67,2024-02-29 23:45:56.129467,study_reward
PAY300013,P102714,SUB200011,6.67,2024-03-01 07:45:56.129467,study_reward
PAY300014,P100128,SUB200012,6.67,2024-03-01 09:07:26.265763,study_reward
PAY300015,P102714,SUB200013,1.52,2024-03-01 12:45:56.129467,study_reward
PAY300016,P100821,SUB200014,7.89,2024-03-01 12:46:26.481574,study_reward
PAY300017,P102714,SUB200015,6.67,2024-03-02 19:45:56.129467,study_reward
PAY300018,P102632,SUB200016,1.52,2024-03-03 01:54:53.243390,study_reward
PAY300019,P102611,SUB200017,1.52,2024-03-03 22:40:22.177941,study_reward
PAY300020,P102911,SUB200018,1.52,2024-03-04 07:29:53.070811,study_reward
PAY300021,P100128,SUB200019,6.67,2024-03-04 20:07:26.265763,study_reward
PAY300022,P102294,SUB200020,6.67,2024-03-05 05:12:21.504970,study_reward
PAY300023,P102632,SUB200023,1.52,2024-03-07 06:54:53.243390,study_reward
PAY300024,P102611,SUB200024,6.67,2024-03-07 08:40:22.177941,study_reward
PAY300025,P100821,SUB200025,7.89,2024-03-07 20:46:26.481574,study_reward
PAY300026,P102294,SUB200026,7.89,2024-03-08 06:12:21.504970,study_reward
PAY300027,P102761,SUB200027,1.9,2024-03-08 16:19:28.337297,study_reward
