study_id,study_name,category,researcher_type,posted_date,avg_completion_minutes,reward_amount,places_available
S5026,Whiteboard Frictionless Users Study,UX Research,Commercial,2024-02-03 06:39:35,33.5,6.67,310
S5188,Revolutionize Cutting-Edge E-Services Study,Academic Research,Non-Profit,2024-02-06 02:17:58,12.2,1.52,185
S5009,Engineer Granular E-Commerce Study,Academic Research,Commercial,2024-02-24 00:30:18,43.9,7.89,482
S5249,Exploit Compelling Bandwidth Study,UX Research,Academic,2024-03-04 14:21:33,17.3,2.91,178
S5127,Evolve Cutting-Edge Niches Study,Social Science,Commercial,2024-03-07 15:41:31,11.7,1.9,42
S5231,Revolutionize Out-Of-The-Box Communities Study,Academic Research,Commercial,2024-03-11 15:10:13,12.8,3.05,498
S5433,Re-Intermediate Transparent Niches Study,Academic Research,Academic,2024-03-13 04:47:39,11.6,2.07,428
S5107,Evolve Next-Generation Web Services Study,Market Research,Commercial,2024-04-01 22:18:49,10.5,1.66,152
S5071,Enhance Clicks-And-Mortar Partnerships Study,Market Research,Academic,2024-04-02 23:20:25,6.5,1.28,284
S5048,Facilitate One-To-One Technologies Study,Academic Research,Commercial,2024-04-21 12:23:28,4.6,0.86,152
S5250,Brand Real-Time Vortals Study,Academic Research,Commercial,2024-04-21 20:58:16,6.5,1.13,272
S5297,Repurpose Strategic Communities Study,Social Science,Commercial,2024-04-24 13:30:18,13.5,2.85,449
S5029,Re-Contextualize Magnetic Methodologies Study,Academic Research,Academic,2024-04-26 13:24:05,19.7,2.96,28
S5412,Extend Cross-Platform Initiatives Study,AI/ML Data Labeling,Commercial,2024-04-29 11:56:01,26.1,5.45,413
S5307,Orchestrate Real-Time Eyeballs Study,AI/ML Data Labeling,Commercial,2024-05-03 14:46:26,28.2,4.57,101
S5059,Matrix Strategic Infrastructures Study,UX Research,Non-Profit,2024-05-20 04:59:27,13.3,2.37,379
S5111,Repurpose Seamless Bandwidth Study,Academic Research,Academic,2024-05-21 06:10:48,9.2,1.79,162
S5037,Extend Back-End Applications Study,Market Research,Academic,2024-05-24 13:48:26,7.7,1.34,123
S5016,Evolve Distributed Functionalities Study,Academic Research,Commercial,2024-05-27 09:22:37,9.5,1.61,54
S5382,Reinvent Strategic E-Business Study,Medical & Health,Non-Profit,2024-05-28 13:22:27,8.2,1.68,54
S5376,Leverage Seamless Web-Readiness Study,Academic Research,Academic,2024-05-29 10:44:53,20.6,4.64,220
S5203,Optimize Next-Generation E-Markets Study,UX Research,Commercial,2024-05-31 08:38:37,9.8,1.75,243
S5281,Cultivate Value-Added Networks Study,Social Science,Commercial,2024-06-02 20:46:55,7.7,1.47,329
S5036,Morph Global Action-Items Study,Social Science,Academic,2024-06-04 07:16:38,2.9,0.5,462
S5350,Re-Contextualize Real-Time Synergies Study,Market Research,Academic,2024-06-08 08:40:13,15.4,3.08,343
S5034,Visualize Rich Interfaces Study,Market Research,Non-Profit,2024-06-09 21:38:48,14.2,2.11,263
S5092,Deploy Holistic Info-Mediaries Study,Academic Research,Academic,2024-06-10 23:28:35,13.7,2.72,39
S5388,Productize Front-End Methodologies Study,Academic Research,Commercial,2024-06-12 07:34:44,16.2,3.85,484
S5083,Visualize Mission-Critical Markets Study,AI/ML Data Labeling,Academic,2024-06-13 09:17:52,6.4,0.8,179
S5143,Matrix Transparent Web-Readiness Study,Social Science,Academic,2024-06-17 05:21:58,13.6,2.39,358
S5216,Benchmark Proactive Infrastructures Study,Market Research,Non-Profit,2024-06-21 13:29:53,15.1,2.13,414
S5185,Deploy Dynamic Architectures Study,Market Research,Commercial,2024-06-25 06:00:39,29.6,5.65,472
S5438,Productize Synergistic Markets Study,AI/ML Data Labeling,Commercial,2024-06-25 17:44:45,17.4,3.47,293
S5038,Brand Wireless Relationships Study,Academic Research,Commercial,2024-06-27 01:41:09,24.7,4.91,205
S5440,Embrace Ubiquitous Infrastructures Study,Medical & Health,Academic,2024-06-28 19:42:46,18.3,2.63,491
S5137,Disintermediate Revolutionary Convergence Study,Academic Research,Commercial,2024-06-29 04:37:40,32.5,6.57,135
S5397,Implement Scalable Metrics Study,Market Research,Academic,2024-06-30 12:27:12,19.0,2.96,257
S5256,Reinvent Holistic E-Tailers Study,Market Research,Academic,2024-06-30 14:05:20,22.5,4.49,241
S5213,Facilitate Wireless Communities Study,Academic Research,Commercial,2024-07-02 13:43:35,8.6,1.08,160
S5132,Implement One-To-One Partnerships Study,UX Research,Commercial,2024-07-06 01:07:18,21.0,4.18,179
S5103,Optimize Innovative Methodologies Study,AI/ML Data Labeling,Academic,2024-07-06 14:57:41,19.5,3.8,158
S5194,Grow Granular Info-Mediaries Study,Academic Research,Academic,2024-07-06 20:07:05,20.0,3.46,214
S5229,Syndicate One-To-One Networks Study,Market Research,Commercial,2024-07-08 22:19:08,49.7,7.54,282
S5258,Empower Efficient Schemas Study,Academic Research,Academic,2024-07-10 04:33:12,18.7,2.75,294
S5220,Harness Killer Bandwidth Study,UX Research,Academic,2024-07-11 13:45:50,7.4,1.0,127
S5129,Revolutionize End-To-End Functionalities Study,Medical & Health,Commercial,2024-07-11 14:33:20,9.3,1.59,209
S5120,Transition Seamless Web Services Study,Academic Research,Commercial,2024-07-15 21:08:37,22.3,3.32,329
S5371,Whiteboard Holistic Users Study,Academic Research,Non-Profit,2024-07-17 11:35:40,6.5,1.32,481
S5341,E-Enable One-To-One Bandwidth Study,AI/ML Data Labeling,Commercial,2024-07-19 17:55:40,22.2,3.95,62
S5156,Benchmark Back-End Paradigms Study,UX Research,Academic,2024-07-19 20:37:53,13.6,1.7,50
S5171,Extend Virtual E-Business Study,Academic Research,Commercial,2024-07-20 15:55:48,2.9,0.44,447
S5324,Facilitate World-Class Web Services Study,Market Research,Non-Profit,2024-07-21 15:14:27,15.3,2.12,214
S5043,Brand Innovative Architectures Study,UX Research,Academic,2024-07-21 23:21:40,14.2,2.61,160
S5040,Synthesize E-Business Markets Study,Social Science,Academic,2024-07-22 22:54:12,29.2,5.02,180
S5349,Empower Next-Generation Supply-Chains Study,Academic Research,Commercial,2024-07-28 00:49:23,12.7,2.02,226
S5035,Matrix Ubiquitous Eyeballs Study,Academic Research,Commercial,2024-07-29 14:22:51,6.9,1.11,435
S5198,Grow Intuitive Technologies Study,Academic Research,Academic,2024-08-02 21:14:49,15.1,1.92,45
S5346,Incentivize Ubiquitous Schemas Study,Social Science,Academic,2024-08-11 00:41:18,48.8,10.53,212
S5008,Grow Efficient Synergies Study,AI/ML Data Labeling,Academic,2024-08-11 05:19:50,40.8,9.33,325
S5161,Integrate User-Centric Synergies Study,UX Research,Academic,2024-08-11 07:46:42,15.3,1.91,362
S5263,Generate Vertical Infrastructures Study,Academic Research,Academic,2024-08-14 17:22:35,28.0,5.29,203
S5343,Re-Contextualize Distributed Mindshare Study,Market Research,Academic,2024-08-20 20:25:42,29.1,5.58,303
S5114,Incubate Killer Mindshare Study,Academic Research,Academic,2024-08-21 05:11:39,35.8,6.95,327
S5064,Cultivate Cutting-Edge E-Tailers Study,UX Research,Academic,2024-08-21 15:10:59,11.7,1.98,279
S5441,Repurpose Killer Experiences Study,Social Science,Academic,2024-08-24 22:35:00,23.4,5.78,130
S5358,Integrate Turn-Key Info-Mediaries Study,AI/ML Data Labeling,Academic,2024-08-25 03:16:53,6.4,0.91,194
S5139,Transform Synergistic Schemas Study,AI/ML Data Labeling,Commercial,2024-08-26 19:28:16,31.1,6.16,159
S5369,Evolve Open-Source Methodologies Study,Medical & Health,Commercial,2024-08-26 22:00:12,3.9,0.67,300
S5027,Drive Interactive Communities Study,Academic Research,Commercial,2024-08-29 11:15:48,38.3,7.63,256
S5205,Streamline Best-Of-Breed E-Markets Study,AI/ML Data Labeling,Academic,2024-08-31 10:02:02,19.9,3.34,47
S5332,Cultivate Plug-And-Play E-Markets Study,Market Research,Non-Profit,2024-08-31 11:56:17,8.6,1.23,228
S5273,Architect Compelling Niches Study,Market Research,Academic,2024-09-01 12:47:15,12.3,1.67,51
S5197,Synthesize Web-Enabled Niches Study,UX Research,Commercial,2024-09-02 15:27:39,11.1,1.83,42
S5106,Expedite Revolutionary E-Business Study,Academic Research,Academic,2024-09-03 04:50:52,28.7,5.46,57
S5279,Streamline Distributed Channels Study,Social Science,Academic,2024-09-03 06:35:42,10.2,1.83,198
S5420,Synergize Out-Of-The-Box Platforms Study,Social Science,Commercial,2024-09-05 18:03:19,35.6,7.8,263
S5097,Repurpose Holistic Eyeballs Study,Academic Research,Academic,2024-09-09 00:39:33,12.8,2.1,159
S5381,Innovate Viral Communities Study,Academic Research,Academic,2024-09-09 12:26:36,11.3,2.26,266
S5055,Revolutionize Clicks-And-Mortar Metrics Study,Medical & Health,Commercial,2024-09-14 15:23:30,12.7,2.11,429
S5047,Matrix Real-Time Experiences Study,AI/ML Data Labeling,Academic,2024-09-15 05:24:00,19.3,2.56,436
S5115,Morph End-To-End Convergence Study,Social Science,Academic,2024-09-15 11:35:08,2.8,0.64,490
S5101,Syndicate Granular Markets Study,Academic Research,Commercial,2024-09-19 23:41:34,8.2,1.24,386
S5311,Embrace Plug-And-Play Content Study,Academic Research,Commercial,2024-09-20 06:41:21,30.0,6.06,253
S5327,Repurpose Wireless Schemas Study,Medical & Health,Academic,2024-09-20 11:13:15,25.3,4.13,478
S5329,Harness Dot-Com Vortals Study,Academic Research,Academic,2024-09-21 01:09:24,11.7,2.64,405
S5148,Enhance 24/365 Bandwidth Study,Market Research,Commercial,2024-09-23 13:05:44,12.9,2.06,446
S5380,Mesh Transparent Networks Study,AI/ML Data Labeling,Commercial,2024-09-24 21:41:58,43.1,9.78,150
S5183,Incentivize Collaborative E-Business Study,Market Research,Academic,2024-09-25 10:05:02,7.8,1.35,54
S5424,Transition Plug-And-Play Content Study,Academic Research,Academic,2024-09-29 07:50:58,14.9,2.82,370
S5286,Synthesize Intuitive Networks Study,AI/ML Data Labeling,Academic,2024-09-29 09:56:52,29.6,6.85,401
S5418,Embrace Ubiquitous Relationships Study,Market Research,Commercial,2024-10-03 02:37:01,9.5,1.77,386
S5172,Maximize Seamless Interfaces Study,Academic Research,Commercial,2024-10-07 12:21:49,12.1,1.58,232
S5289,Incentivize 24/7 Schemas Study,UX Research,Academic,2024-10-08 16:37:18,32.5,6.11,372
S5264,Envisioneer Magnetic Interfaces Study,UX Research,Non-Profit,2024-10-10 03:34:12,5.4,0.77,389
S5340,Deploy E-Business E-Services Study,AI/ML Data Labeling,Non-Profit,2024-10-10 03:44:47,12.1,2.31,484
S5010,Facilitate Efficient Eyeballs Study,Academic Research,Commercial,2024-10-10 10:23:37,19.0,3.21,287
S5277,Monetize Value-Added Users Study,Academic Research,Academic,2024-10-11 22:46:53,4.2,0.88,357
S5168,Scale Distributed Schemas Study,Academic Research,Commercial,2024-10-13 07:15:25,7.0,1.46,431
S5077,Maximize Collaborative Action-Items Study,AI/ML Data Labeling,Academic,2024-10-14 00:20:00,12.5,2.08,85
S5152,Empower Innovative Niches Study,Social Science,Academic,2024-10-18 17:11:40,19.6,2.63,429
S5184,Iterate Intuitive Bandwidth Study,Market Research,Academic,2024-10-19 03:56:30,5.4,1.05,368
S5312,Scale Wireless Niches Study,Social Science,Academic,2024-10-19 12:24:21,11.7,2.82,323
S5085,Incentivize Dynamic Solutions Study,Academic Research,Commercial,2024-10-20 16:39:57,19.0,3.89,136
S5199,Incentivize Real-Time Supply-Chains Study,Academic Research,Academic,2024-10-22 21:04:28,16.3,2.43,49
S5167,Deploy World-Class Interfaces Study,Market Research,Academic,2024-10-23 07:59:06,16.7,2.09,159
S5041,Cultivate One-To-One Eyeballs Study,Market Research,Academic,2024-10-23 08:06:15,19.1,2.54,477
S5309,Generate Extensible Metrics Study,Market Research,Non-Profit,2024-10-24 09:03:48,22.3,3.84,410
S5099,Streamline Leading-Edge Vortals Study,Academic Research,Academic,2024-10-25 03:00:39,19.7,2.46,467
S5211,Enhance Real-Time E-Commerce Study,Market Research,Academic,2024-10-26 06:54:04,19.6,3.62,482
S5175,Generate World-Class Bandwidth Study,Academic Research,Academic,2024-10-27 21:11:01,7.8,1.17,55
S5074,Optimize Web-Enabled Niches Study,UX Research,Non-Profit,2024-10-27 22:18:19,16.9,3.1,380
S5208,Seize Seamless Architectures Study,UX Research,Commercial,2024-10-29 17:05:36,4.7,0.85,80
S5200,Harness Strategic Channels Study,UX Research,Academic,2024-11-01 14:21:46,19.9,2.77,294
S5233,Monetize Sticky Applications Study,Medical & Health,Academic,2024-11-05 08:04:48,11.9,1.99,244
S5149,Seize Extensible E-Services Study,UX Research,Commercial,2024-11-05 23:21:19,5.5,1.19,453
S5282,Envisioneer Collaborative Info-Mediaries Study,UX Research,Commercial,2024-11-06 01:32:51,20.6,3.47,428
S5128,Integrate Clicks-And-Mortar Supply-Chains Study,Academic Research,Academic,2024-11-06 05:51:26,23.1,4.88,355
S5444,Enable Best-Of-Breed Partnerships Study,Medical & Health,Commercial,2024-11-08 09:08:42,2.0,0.33,369
S5093,Architect Wireless Markets Study,Medical & Health,Academic,2024-11-09 19:24:52,16.5,2.24,372
S5356,Scale Web-Enabled Networks Study,Medical & Health,Commercial,2024-11-11 08:27:50,6.7,1.33,466
S5427,Monetize Rich Initiatives Study,UX Research,Academic,2024-11-13 03:45:30,23.3,3.87,422
S5300,Deploy Customized Metrics Study,UX Research,Non-Profit,2024-11-14 10:49:28,33.5,6.19,94
S5003,Innovate E-Business Applications Study,Academic Research,Non-Profit,2024-11-15 05:48:33,8.9,1.74,490
S5076,Incubate End-To-End Networks Study,UX Research,Commercial,2024-11-16 08:11:53,5.8,0.74,436
S5222,Empower Next-Generation Portals Study,AI/ML Data Labeling,Commercial,2024-11-16 20:01:59,36.7,7.62,89
S5209,Iterate Next-Generation Users Study,Academic Research,Academic,2024-11-16 22:19:03,26.6,4.12,195
S5118,Grow Seamless E-Business Study,Academic Research,Non-Profit,2024-11-17 04:30:56,9.8,1.89,47
S5000,Whiteboard One-To-One Web-Readiness Study,AI/ML Data Labeling,Non-Profit,2024-11-17 10:46:59,27.7,6.05,380
S5431,Extend B2C E-Markets Study,Social Science,Commercial,2024-11-17 14:45:20,11.8,2.03,486
S5271,Embrace Dynamic Vortals Study,Market Research,Non-Profit,2024-11-17 15:45:07,14.9,2.99,78
S5407,Extend Next-Generation Roi Study,AI/ML Data Labeling,Academic,2024-11-19 06:25:05,9.4,1.37,205
S5365,Drive B2B E-Markets Study,UX Research,Commercial,2024-11-20 03:39:23,9.2,1.75,94
S5207,Synergize Compelling Synergies Study,Academic Research,Academic,2024-11-20 07:39:59,14.2,1.78,476
S5182,Orchestrate Proactive Paradigms Study,Academic Research,Non-Profit,2024-11-21 18:16:07,11.9,2.14,106
S5402,Morph Global Functionalities Study,AI/ML Data Labeling,Academic,2024-11-22 03:10:29,7.4,1.21,70
S5004,Brand Robust Web-Readiness Study,Academic Research,Non-Profit,2024-11-22 07:00:01,14.1,2.25,416
S5121,Transform Global Portals Study,AI/ML Data Labeling,Academic,2024-11-22 12:32:42,27.5,4.46,397
S5268,Extend Open-Source Convergence Study,Academic Research,Commercial,2024-11-22 20:15:03,25.9,4.16,240
S5320,Mesh Visionary Niches Study,Medical & Health,Academic,2024-11-24 23:47:17,15.8,3.5,461
S5447,Revolutionize B2B Metrics Study,Academic Research,Commercial,2024-11-25 21:37:08,7.5,1.56,329
S5050,Implement Back-End Mindshare Study,Academic Research,Commercial,2024-11-25 23:41:32,26.9,3.96,130
S5219,Streamline Back-End Architectures Study,Academic Research,Academic,2024-11-26 03:17:32,36.7,5.27,443
S5226,Integrate Proactive Action-Items Study,Academic Research,Commercial,2024-11-27 17:29:52,27.2,4.72,433
S5234,Utilize Extensible Networks Study,Academic Research,Commercial,2024-11-27 23:54:52,26.3,3.29,80
S5223,E-Enable Strategic Info-Mediaries Study,Academic Research,Commercial,2024-11-29 09:53:40,11.4,1.76,483
S5021,Synergize Efficient Bandwidth Study,Market Research,Non-Profit,2024-12-04 04:52:38,10.0,1.58,287
S5328,Integrate Ubiquitous Infrastructures Study,UX Research,Academic,2024-12-04 17:22:55,46.8,6.81,184
S5316,Morph Proactive Infrastructures Study,AI/ML Data Labeling,Academic,2024-12-05 09:15:23,6.4,1.21,23
S5262,Visualize Holistic Systems Study,AI/ML Data Labeling,Academic,2024-12-05 17:23:32,11.8,2.3,427
S5422,Utilize World-Class E-Business Study,Market Research,Academic,2024-12-06 23:10:29,37.2,5.85,433
